model,epistemic_label,sample_definition,horizon_days_each_side,minimum_fair_opportunities_each_side,rows,clusters,outcome_mean,exposure_means,numeric_controls,fixed_effects,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,term,coefficient,standard_error,t_cluster,p_value_two_sided,effect_pp_change_per_1pp_denier_propensity,se_pp_change_per_1pp_denier_propensity,causal_claim,interaction_pp_change_per_1pp_denier_propensity
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,30,4,1962,1931,0.0008784459553472474,"{""denier_pair_excluded_propensity"":0.01425455049947814}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.07626197631341759,16,6.436271843359673e-10,1.0139617892383286,352d25fad8935c707c3c4f3e70d55deb8b2b27d87a986dbaa6d04a567ae3e171,denier_pair_excluded_propensity,-0.022992669874420814,0.02781135704649703,-0.8267367117677865,0.408386308440464,-0.022992669874420814,0.02781135704649703,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,30,4,2003,1971,-0.004239145462215699,"{""claim_by_centered_denier_propensity"":-0.07207646147709589}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,0.0985904976629672,21,4.3702869407924946e-10,1.014699211577924,151bfde043869b858d63df0f80c20eba42d1d1bbe5e6b1540a0af17f64255759,claim_by_centered_denier_propensity,-0.0379050011918346,0.030834335109479392,-1.2293114496307551,0.21895505607985608,,0.030834335109479392,False,-0.0379050011918346
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,60,1,80414,63857,-0.0036629145141995126,"{""denier_pair_excluded_propensity"":0.013442135388558287}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,1.1574923002278754,6,1.4505819953170083e-10,1.000339100681947,13429df70c031619bc6476b1318efbae9497e535dff5bc1c6688f129666860c0,denier_pair_excluded_propensity,0.016335155681534746,0.011351875445896196,1.4389829909065863,0.15015534195473124,0.016335155681534746,0.011351875445896196,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,60,1,81848,64940,-0.0014802824887770376,"{""claim_by_centered_denier_propensity"":-0.07510887989854542}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,1.4120041343407403,8,8.638909865773879e-11,1.0003576231367008,30951a1d3baa41eabe6c413b9c95e0c401e3569a4d106159bc72f86ba83499f5,claim_by_centered_denier_propensity,0.0007781338047063973,0.021624505130424826,0.03598388957403671,0.9712952048925083,,0.021624505130424826,False,0.0007781338047063973
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,60,4,5435,5303,-0.002119527443305481,"{""denier_pair_excluded_propensity"":0.013391579952908725}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.23400686593394296,10,8.62445283800844e-11,1.0049972071496969,1e686af2198d50290b1362a2298931514e3160a9a0e85e5e087f9e1b4f624afd,denier_pair_excluded_propensity,-0.03242048436457161,0.02091393359193042,-1.5501858711591663,0.12109691000604421,-0.03242048436457161,0.02091393359193042,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,60,4,5530,5395,-0.005033082011724346,"{""claim_by_centered_denier_propensity"":-0.07339756288063233}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,0.2773641355259284,15,2.546350430791776e-10,1.0052763184527678,0b71ef6eab0fca4a7ce413747cca1f3666410abe9657b8d195f04031ed85ceee,claim_by_centered_denier_propensity,-0.02118321140030794,0.024489970892682518,-0.8649749521195789,0.3870525368258891,,0.024489970892682518,False,-0.02118321140030794
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,90,1,93653,72180,-0.0040555448707030265,"{""denier_pair_excluded_propensity"":0.01350386624364188}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,1.239007766074279,6,9.420418456727754e-11,1.0002915589312984,35dcddcc116e461311d6a6af2b48f9f7c302a069961e2970b0f2283bc13e711e,denier_pair_excluded_propensity,0.013556268316650681,0.009962030403734565,1.3607937104436771,0.17357889009651897,0.013556268316650681,0.009962030403734565,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,90,1,95353,73410,-0.0023607105940780465,"{""claim_by_centered_denier_propensity"":-0.07409141842428572}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,1.51539696288866,8,8.742806077176774e-11,1.0003073613602247,d760504c173ca872d497565de12777323486bac39190f62903aaf4c0dcb0be25,claim_by_centered_denier_propensity,0.00836968489222717,0.018649839536358362,0.4487805311091414,0.6535899844955786,,0.018649839536358362,False,0.00836968489222717
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,90,4,8843,8556,-0.002423985240384983,"{""denier_pair_excluded_propensity"":0.013170378597045748}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.3398833265348777,9,1.0492969044374467e-10,1.0030664187423959,78aa4e363b25a0a5ec1b1488b53a83daa2df9137f9ba30c411c1b6d62ae38bf6,denier_pair_excluded_propensity,-0.006215760928548128,0.017739400312660594,-0.35039295686404603,0.7260438113954162,-0.006215760928548128,0.017739400312660594,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,90,4,9000,8705,-0.0030532031220934772,"{""claim_by_centered_denier_propensity"":-0.0746034432882331}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,0.3925933775229911,13,1.4464005673657413e-10,1.0032364165046521,14c6da846033e1e8bb46c2f0d5cf2bde4da70169d14845d1e5b665dc17450036,claim_by_centered_denier_propensity,0.03808373380548548,0.028434085539745146,1.339369038341397,0.18045056367264145,,0.028434085539745146,False,0.03808373380548548
